num_communities,num_threads,parallelised,CT_runtime,GA_runtime,CA_runtime
1000,64,TRUE,6362,1798,11
1000,64,FALSE,6490,1730,199
1000,64,TRUE,6365,1807,8
1000,64,FALSE,6469,1729,198
1000,64,TRUE,6338,1803,9
1000,64,FALSE,6478,1726,199
1000,64,TRUE,6363,1802,11
1000,64,FALSE,6484,1736,193
1000,64,TRUE,6363,1803,11
1000,64,FALSE,6485,1735,199
1000,64,TRUE,6346,1804,11
1000,64,FALSE,6620,1739,192
5000,64,TRUE,6233,7038,51
5000,64,FALSE,6491,6845,1203
5000,64,TRUE,6360,7028,49
5000,64,FALSE,6588,6869,1209
5000,64,TRUE,6364,7049,48
5000,64,FALSE,6479,6852,1214
2500,64,TRUE,6358,4231,26
10000,64,FALSE,6491,13622,2805
10000,64,TRUE,6221,13943,101
2500,64,FALSE,6630,4126,553
5000,64,TRUE,6365,7038,47
10000,64,FALSE,6474,13591,2729
10000,64,TRUE,6364,13920,103
5000,64,FALSE,6624,6841,1188
2500,64,TRUE,6339,4236,25
10000,64,FALSE,6488,13556,2714
10000,64,TRUE,6341,13901,104
2500,64,FALSE,6621,4117,559
25000,64,TRUE,6422,15158,318
2500,64,FALSE,6624,4119,562
25000,64,FALSE,6487,15034,8334
25000,64,TRUE,6371,15155,316
25000,64,FALSE,6626,15001,8507
25000,64,TRUE,6343,15149,319
25000,64,FALSE,6488,15013,8438
5000,8,TRUE,6237,31400,168
5000,8,FALSE,6473,30508,1001
25000,8,TRUE,6224,50825,1240
25000,8,FALSE,6599,49885,8067
25000,64,FALSE,6619,14913,8490
25000,64,TRUE,6336,15182,321
5000,64,FALSE,6493,6831,1202
5000,64,TRUE,6244,7046,50
50000,64,FALSE,6493,24882,21323
50000,64,TRUE,6236,25329,825
50000,64,FALSE,6487,25140,21227
50000,64,TRUE,6339,25123,817
