network,parallelized,CT_runtime,GA_runtime,CA_runtime
amazon,1,0.706299,397,175
amazon,1,0.719997,425,186
amazon,1,0.745503,449,178
amazon,1,0.731003,435,199
amazon,1,0.731919,421,177
amazon,1,0.730585,414,186
amazon,1,0.751394,461,210
amazon,1,0.761465,431,215
amazon,1,0.716149,419,187
amazon,1,0.722509,417,377
amazon,1,0.701708,382,182
amazon,1,0.75477,418,180
amazon,1,0.695446,398,202
amazon,1,0.724214,423,185
amazon,1,0.727332,412,176
amazon,1,0.724795,408,188
amazon,1,0.695967,414,208
amazon,1,0.738274,465,211
amazon,0,0.708716,390,1018
amazon,0,0.7245,397,1031
amazon,0,0.716816,396,1050
amazon,0,0.728548,418,1019
amazon,0,0.738062,414,1032
amazon,0,0.72642,419,1032
amazon,0,0.703046,388,1243
amazon,0,0.703166,383,1005
amazon,0,0.761737,436,1378
amazon,0,0.719016,402,1018
amazon,0,0.714558,410,1015
amazon,0,0.780525,494,1349
amazon,1,0.728716,394,185
amazon,0,0.725457,400,1178
amazon,1,0.715117,393,198
amazon,0,0.706742,402,997
amazon,0,0.722669,430,1082
amazon,0,0.738845,405,1133
amazon,0,0.943917,870,1684
amazon,0,0.718937,402,1026
amazon,0,0.740022,393,1012
amazon,0,0.715989,713,1018
amazon,1,0.696167,384,184
amazon,1,0.693892,390,182
amazon,1,0.699894,393,185
amazon,1,0.700255,401,187
amazon,1,0.704016,406,216
amazon,0,0.697965,398,1010
amazon,0,0.703794,402,1034
amazon,0,0.712243,416,1051
amazon,0,0.719544,417,1113
amazon,1,0.700938,410,176
amazon,1,0.692285,404,200
amazon,1,0.713325,406,209
amazon,1,0.713703,405,212
amazon,1,0.760395,434,216
amazon,0,0.694622,397,996
amazon,0,0.694637,379,1029
amazon,0,0.711272,404,1045
amazon,0,0.695124,397,1064
amazon,0,0.702719,600,1111
amazon,1,0.694706,392,185
amazon,1,0.699168,397,201
amazon,1,0.696926,402,203
amazon,1,0.706369,401,206
amazon,1,0.714577,409,207
amazon,0,0.682686,386,964
amazon,0,0.719832,413,1145
amazon,0,0.710462,420,1144
amazon,0,0.704699,397,1022
amazon,0,0.693684,401,1124
amazon,1,0.69361,385,180
amazon,1,0.698146,392,182
amazon,1,0.697288,401,205
amazon,1,0.72545,412,215
amazon,1,0.696872,388,182
amazon,1,0.692383,394,183
amazon,1,0.709104,409,202
amazon,1,0.744851,420,217
amazon,1,0.702984,390,465
amazon,1,0.70274,407,546
amazon,0,0.691433,398,992
amazon,0,0.698602,389,1016
amazon,0,0.713342,394,1017
amazon,0,0.686143,399,970
amazon,0,0.69583,389,1016
amazon,0,0.70733,411,1067
amazon,0,0.700075,402,1030
amazon,0,0.710315,409,1105
amazon,0,0.85356,285,1492
amazon,1,0.698043,388,182
amazon,1,0.691824,399,203
amazon,1,0.695259,397,202
amazon,1,0.687759,423,184
amazon,1,0.694233,383,181
amazon,0,0.710927,396,1013
amazon,0,0.697132,397,1029
amazon,0,0.829196,408,1113
amazon,0,0.743654,431,1261
amazon,0,0.724611,700,1144
amazon,1,0.699168,384,184
amazon,1,0.699245,387,184
amazon,1,0.720401,410,175
amazon,1,0.709357,406,193
amazon,1,0.73883,418,179
amazon,1,0.707227,401,202
amazon,1,0.6991,398,208
amazon,1,0.695336,405,204
amazon,1,0.709833,407,208
amazon,1,0.719159,412,216
amazon,0,0.692707,376,1015
amazon,0,0.70382,396,995
amazon,0,0.706996,399,1017
amazon,0,0.722336,413,1043
amazon,0,0.691438,405,1078
amazon,0,0.696224,404,1078
amazon,0,0.713146,413,1126
amazon,0,0.699789,400,1068
amazon,0,0.708636,391,1020
amazon,1,0.702166,388,180
amazon,1,0.700123,387,182
amazon,1,0.695081,384,181
amazon,1,0.712822,405,186
amazon,1,0.695352,399,183
amazon,1,0.697844,396,186
amazon,1,0.724381,419,178
amazon,1,0.696087,404,203
amazon,1,0.720965,432,206
amazon,0,0.695232,381,1005
amazon,0,0.697438,401,999
amazon,0,0.704998,394,1012
amazon,0,0.704843,393,1015
amazon,0,0.70493,402,1027
amazon,0,0.698367,396,991
amazon,0,0.695009,405,995
amazon,0,0.708183,728,959
amazon,0,0.721687,413,1285
amazon,0,0.689388,398,988
dblp,0,0.903777,114,120
dblp,1,0.869878,140,28
dblp,1,0.867324,143,27
dblp,1,0.866699,143,27
dblp,1,0.863796,144,27
dblp,1,0.871236,145,28
dblp,1,0.867071,143,31
dblp,1,0.886664,149,30
dblp,1,0.88027,150,30
dblp,1,0.90156,155,27
dblp,1,0.862743,143,28
dblp,1,0.877532,146,27
dblp,1,0.866519,147,30
dblp,1,0.881109,152,30
dblp,1,0.9434,154,34
dblp,1,0.909435,156,35
dblp,1,0.873971,167,37
dblp,1,0.902995,156,30
dblp,1,0.869561,144,33
dblp,1,0.931553,155,34
dblp,1,0.904965,157,32
dblp,1,0.906823,157,35
dblp,1,0.967559,165,34
dblp,1,0.929281,173,32
dblp,1,0.866722,147,29
dblp,1,0.863481,146,31
dblp,0,0.865306,144,152
dblp,0,0.872694,146,147
dblp,0,0.927055,155,149
dblp,0,0.864497,144,155
dblp,0,0.907157,156,146
dblp,0,0.936312,160,145
dblp,0,0.873317,156,160
dblp,0,0.942,171,176
dblp,1,0.881967,149,28
dblp,1,0.949726,168,29
dblp,0,0.924662,371,144
dblp,1,0.916827,152,29
dblp,1,0.907847,156,30
dblp,1,0.871538,147,30
dblp,0,0.86727,146,162
dblp,0,0.879145,149,143
dblp,0,0.877728,152,151
dblp,0,0.907324,156,148
dblp,1,0.913594,153,31
dblp,1,0.947983,155,34
dblp,1,0.910502,155,30
dblp,1,0.891007,147,29
dblp,0,0.900055,149,310
dblp,0,0.904073,155,170
dblp,0,0.861835,145,148
dblp,0,0.866945,145,149
dblp,0,0.908176,157,145
dblp,0,0.867904,145,164
dblp,1,0.864845,146,30
dblp,1,0.86609,143,30
dblp,1,0.874718,148,28
dblp,1,0.873134,147,30
dblp,0,0.878152,144,146
dblp,0,0.8791,153,148
dblp,0,0.881946,149,156
dblp,0,0.867349,146,160
dblp,0,0.881162,147,148
dblp,1,0.865851,146,27
dblp,1,0.864404,144,30
dblp,1,0.874883,148,31
dblp,1,0.895209,151,31
